0, 0, Header, 1, 4, 384
1, 0, Start_track
1, 0, Tempo, 471866
1, 0, Time_signature, 2, 2, 24, 8
1, 384, Tempo, 474982
1, 768, Tempo, 453094
1, 1152, Tempo, 455191
1, 1536, Tempo, 462477
1, 1920, Tempo, 459367
1, 2304, Tempo, 440612
1, 2688, Tempo, 424976
1, 3072, Tempo, 446850
1, 3456, Tempo, 435389
1, 3840, Tempo, 417702
1, 4224, Tempo, 464566
1, 4608, Tempo, 457271
1, 4992, Tempo, 469770
1, 5376, Tempo, 474982
1, 5760, Tempo, 465602
1, 6144, Tempo, 474982
1, 6528, Tempo, 446850
1, 6912, Tempo, 440612
1, 7296, Tempo, 464566
1, 7680, Tempo, 469770
1, 8064, Tempo, 453094
1, 8448, Tempo, 457271
1, 8832, Tempo, 437470
1, 9216, Tempo, 437470
1, 9600, Tempo, 444760
1, 9984, Tempo, 419760
1, 10368, Tempo, 430196
1, 10752, Tempo, 478111
1, 11136, Tempo, 439569
1, 11520, Tempo, 512490
1, 11904, Tempo, 432266
1, 12288, Tempo, 480192
1, 12672, Tempo, 457271
1, 13056, Tempo, 482267
1, 13440, Tempo, 442692
1, 13824, Tempo, 462477
1, 14208, Tempo, 478111
1, 14592, Tempo, 474982
1, 14976, Tempo, 459367
1, 15360, Tempo, 449992
1, 15744, Tempo, 480192
1, 16128, Tempo, 442692
1, 16512, Tempo, 480192
1, 16896, Tempo, 434366
1, 17280, Tempo, 485392
1, 17664, Tempo, 417702
1, 18048, Tempo, 502075
1, 18432, Tempo, 464566
1, 18816, Tempo, 462477
1, 19200, Tempo, 447885
1, 19584, Tempo, 469770
1, 19968, Tempo, 460399
1, 20352, Tempo, 467683
1, 20736, Tempo, 469770
1, 21120, Tempo, 471866
1, 21504, Tempo, 449992
1, 21888, Tempo, 449992
1, 22272, Tempo, 460399
1, 22656, Tempo, 439569
1, 23040, Tempo, 462477
1, 23424, Tempo, 465602
1, 23808, Tempo, 552070
1, 24192, Tempo, 519775
1, 24576, Tempo, 465602
1, 24960, Tempo, 455191
1, 25344, Tempo, 487480
1, 25728, Tempo, 446850
1, 26112, Tempo, 474982
1, 26496, Tempo, 465602
1, 26880, Tempo, 477048
1, 27264, Tempo, 457271
1, 27648, Tempo, 474982
1, 28032, Tempo, 478111
1, 28416, Tempo, 446850
1, 28800, Tempo, 485392
1, 29184, Tempo, 467683
1, 29568, Tempo, 469770
1, 29952, Tempo, 467683
1, 30336, Tempo, 500000
1, 30720, Tempo, 462477
1, 31104, Tempo, 469770
1, 31488, Tempo, 452057
1, 31872, Tempo, 482267
1, 32256, Tempo, 458326
1, 32640, Tempo, 471866
1, 33024, Tempo, 497901
1, 33408, Tempo, 496856
1, 33792, Tempo, 462477
1, 34176, Tempo, 433309
1, 34560, Tempo, 482267
1, 34944, Tempo, 469770
1, 35328, Tempo, 502075
1, 35712, Tempo, 515615
1, 36096, Tempo, 696885
1, 37104, End_track
2, 0, Start_track
2, 0, Title_t, "A.PIANO 1"
2, 72, Control_c, 0, 7, 125
2, 72, Control_c, 0, 10, 64
2, 72, Control_c, 0, 64, 0
2, 72, Control_c, 0, 91, 64
2, 72, Control_c, 0, 93, 0
2, 72, Pitch_bend_c, 0, 8192
2, 72, Program_c, 0, 0
2, 72, Note_on_c, 0, 72, 83
2, 468, Note_off_c, 0, 72, 83
2, 552, Note_on_c, 0, 72, 82
2, 612, Note_off_c, 0, 72, 82
2, 768, Note_on_c, 0, 79, 104
2, 1198, Note_off_c, 0, 79, 104
2, 1330, Note_on_c, 0, 79, 110
2, 1414, Note_off_c, 0, 79, 110
2, 1536, Note_on_c, 0, 81, 115
2, 1952, Note_off_c, 0, 81, 115
2, 2110, Note_on_c, 0, 81, 110
2, 2178, Note_off_c, 0, 81, 110
2, 2304, Note_on_c, 0, 79, 104
2, 2720, Note_off_c, 0, 79, 104
2, 2874, Note_on_c, 0, 79, 101
2, 2888, Note_on_c, 0, 76, 68
2, 2950, Note_off_c, 0, 79, 101
2, 2960, Note_off_c, 0, 76, 68
2, 3256, Note_on_c, 0, 77, 95
2, 3276, Note_on_c, 0, 76, 57
2, 3304, Note_off_c, 0, 77, 95
2, 3326, Note_off_c, 0, 76, 57
2, 3644, Note_on_c, 0, 77, 93
2, 3654, Note_on_c, 0, 74, 74
2, 3702, Note_off_c, 0, 77, 93
2, 3722, Note_off_c, 0, 74, 74
2, 4042, Note_on_c, 0, 74, 61
2, 4042, Note_on_c, 0, 76, 61
2, 4088, Note_off_c, 0, 76, 61
2, 4104, Note_off_c, 0, 74, 61
2, 4424, Note_on_c, 0, 76, 75
2, 4430, Note_on_c, 0, 72, 64
2, 4474, Note_off_c, 0, 76, 75
2, 4484, Note_off_c, 0, 72, 64
2, 4792, Note_on_c, 0, 74, 72
2, 4798, Note_on_c, 0, 72, 62
2, 4832, Note_off_c, 0, 74, 72
2, 4858, Note_off_c, 0, 72, 62
2, 5172, Note_on_c, 0, 74, 61
2, 5180, Note_on_c, 0, 71, 52
2, 5212, Note_off_c, 0, 74, 61
2, 5216, Note_off_c, 0, 71, 52
2, 5376, Note_on_c, 0, 72, 55
2, 5724, Note_off_c, 0, 72, 55
2, 6144, Note_on_c, 0, 72, 74
2, 6522, Note_off_c, 0, 72, 74
2, 6696, Note_on_c, 0, 72, 91
2, 6774, Note_off_c, 0, 72, 91
2, 6912, Note_on_c, 0, 79, 105
2, 7340, Note_off_c, 0, 79, 105
2, 7474, Note_on_c, 0, 79, 107
2, 7568, Note_off_c, 0, 79, 107
2, 7680, Note_on_c, 0, 81, 118
2, 8104, Note_off_c, 0, 81, 118
2, 8240, Note_on_c, 0, 81, 109
2, 8306, Note_off_c, 0, 81, 109
2, 8448, Note_on_c, 0, 79, 109
2, 8852, Note_off_c, 0, 79, 109
2, 9026, Note_on_c, 0, 79, 97
2, 9030, Note_on_c, 0, 76, 68
2, 9072, Note_off_c, 0, 79, 97
2, 9090, Note_off_c, 0, 76, 68
2, 9400, Note_on_c, 0, 77, 94
2, 9418, Note_on_c, 0, 76, 55
2, 9446, Note_off_c, 0, 77, 94
2, 9460, Note_off_c, 0, 76, 55
2, 9782, Note_on_c, 0, 77, 85
2, 9796, Note_on_c, 0, 74, 61
2, 9836, Note_off_c, 0, 74, 61
2, 9836, Note_off_c, 0, 77, 85
2, 10156, Note_on_c, 0, 76, 77
